2023-02-06 at 15:50:21 | INFO | Initializing bot
2023-02-06 at 15:50:22 | INFO | Registering handlers
2023-02-06 at 15:50:22 | INFO | Registering commands
2023-02-06 at 15:50:22 | INFO | Bot started
2023-02-06 at 15:53:16 | INFO | Bot shutdown
2023-02-06 at 15:55:59 | INFO | Initializing bot
2023-02-06 at 15:55:59 | INFO | Registering handlers
2023-02-06 at 15:55:59 | INFO | Registering commands
2023-02-06 at 15:56:00 | INFO | Bot started
2023-02-06 at 15:56:11 | INFO | Bot shutdown
2023-02-06 at 16:04:58 | INFO | Initializing bot
2023-02-06 at 16:04:59 | INFO | Registering handlers
2023-02-06 at 16:04:59 | INFO | Registering commands
2023-02-06 at 16:04:59 | INFO | Bot started
2023-02-06 at 16:05:28 | INFO | Bot shutdown
2023-02-06 at 16:12:30 | INFO | Initializing bot
2023-02-06 at 16:12:31 | INFO | Registering handlers
2023-02-06 at 16:12:31 | INFO | Registering commands
2023-02-06 at 16:12:31 | INFO | Bot started
2023-02-06 at 16:13:56 | INFO | Bot shutdown
2023-02-06 at 17:49:23 | INFO | Initializing bot
2023-02-06 at 17:49:23 | INFO | Registering handlers
2023-02-06 at 17:49:23 | INFO | Registering commands
2023-02-06 at 17:49:23 | INFO | Bot started
2023-02-06 at 17:52:06 | INFO | Bot shutdown
2023-02-06 at 17:55:58 | INFO | Initializing bot
2023-02-06 at 17:55:58 | INFO | Registering handlers
2023-02-06 at 17:55:58 | INFO | Registering commands
2023-02-06 at 17:55:58 | INFO | Bot started
2023-02-06 at 17:56:01 | INFO | Bot shutdown
2023-02-06 at 18:04:48 | INFO | Initializing bot
2023-02-06 at 18:04:49 | INFO | Registering handlers
2023-02-06 at 18:04:49 | INFO | Registering commands
2023-02-06 at 18:04:49 | INFO | Bot started
2023-02-06 at 18:05:11 | INFO | Bot shutdown
2023-02-06 at 19:46:13 | INFO | Initializing bot
2023-02-06 at 19:46:14 | INFO | Registering handlers
2023-02-06 at 19:46:14 | INFO | Registering commands
2023-02-06 at 19:46:14 | INFO | Bot started
2023-02-06 at 19:46:30 | INFO | Bot shutdown
2023-05-08 at 22:30:42 | INFO | Initializing bot
2023-05-08 at 22:30:42 | INFO | Registering handlers
2023-05-08 at 22:30:42 | INFO | Registering commands
2023-05-08 at 22:30:42 | INFO | Bot started
2023-05-08 at 22:31:32 | INFO | Bot shutdown
2023-05-15 at 23:21:46 | INFO | Initializing bot
2023-05-15 at 23:21:46 | INFO | Registering handlers
2023-05-15 at 23:21:46 | INFO | Registering commands
2023-05-15 at 23:21:46 | INFO | Bot started
2023-05-15 at 23:22:27 | INFO | Bot shutdown
2023-05-22 at 21:16:03 | INFO | Initializing bot
2023-05-22 at 21:16:04 | INFO | Registering handlers
2023-05-22 at 21:16:04 | INFO | Registering commands
2023-05-22 at 21:16:04 | INFO | Bot started
2023-05-22 at 21:17:01 | INFO | Bot shutdown
2023-05-22 at 21:19:54 | INFO | Initializing bot
2023-05-22 at 21:19:54 | INFO | Bot shutdown
2023-05-22 at 21:20:54 | INFO | Initializing bot
2023-05-22 at 21:20:54 | INFO | Registering handlers
2023-05-22 at 21:20:54 | INFO | Registering commands
2023-05-22 at 21:20:55 | INFO | Bot started
2023-06-03 at 16:19:35 | INFO | Bot shutdown
2023-06-03 at 16:19:42 | INFO | Initializing bot
2023-06-03 at 16:19:42 | INFO | Registering handlers
2023-06-03 at 16:19:42 | INFO | Registering commands
2023-06-03 at 16:19:42 | INFO | Bot started
2023-06-03 at 16:20:33 | INFO | Bot shutdown
2023-06-07 at 22:51:13 | INFO | Initializing bot
2023-06-07 at 22:51:14 | INFO | Registering handlers
2023-06-07 at 22:51:14 | INFO | Registering commands
2023-06-07 at 22:51:14 | INFO | Bot started
2023-06-07 at 22:53:39 | INFO | Bot shutdown
2023-06-07 at 22:59:13 | INFO | Initializing bot
2023-06-07 at 22:59:13 | INFO | Registering handlers
2023-06-07 at 22:59:13 | INFO | Registering commands
2023-06-07 at 22:59:13 | INFO | Bot started
2023-06-07 at 23:01:44 | INFO | Bot shutdown
2023-06-07 at 23:37:02 | INFO | Initializing bot
2023-06-07 at 23:37:02 | INFO | Registering handlers
2023-06-07 at 23:37:02 | INFO | Registering commands
2023-06-07 at 23:37:02 | INFO | Bot started
2023-06-07 at 23:39:32 | INFO | Bot shutdown
2023-06-21 at 23:43:57 | INFO | Initializing bot
2023-06-21 at 23:43:57 | INFO | Registering handlers
2023-06-21 at 23:43:57 | INFO | Registering commands
2023-06-21 at 23:43:57 | INFO | Bot started
2023-06-21 at 23:46:51 | INFO | Bot shutdown
2023-06-22 at 23:16:32 | INFO | Initializing bot
2023-06-22 at 23:16:32 | INFO | Registering handlers
2023-06-22 at 23:16:32 | INFO | Registering commands
2023-06-22 at 23:16:32 | INFO | Bot started
2023-06-22 at 23:23:03 | INFO | Bot shutdown
2023-07-03 at 23:16:24 | INFO | Initializing bot
2023-07-03 at 23:16:25 | INFO | Registering handlers
2023-07-03 at 23:16:25 | INFO | Registering commands
2023-07-03 at 23:16:25 | INFO | Bot started
2023-07-03 at 23:17:58 | INFO | Bot shutdown
2023-07-03 at 23:26:26 | INFO | Initializing bot
2023-07-03 at 23:26:27 | INFO | Registering handlers
2023-07-03 at 23:26:27 | INFO | Registering commands
2023-07-03 at 23:26:27 | INFO | Bot started
2023-07-03 at 23:27:27 | INFO | Bot shutdown
2023-07-03 at 23:32:35 | INFO | Initializing bot
2023-07-03 at 23:32:35 | INFO | Registering handlers
2023-07-03 at 23:32:35 | INFO | Registering commands
2023-07-03 at 23:32:35 | INFO | Bot started
2023-07-03 at 23:33:06 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-10 at 00:05:11 | INFO | Initializing bot
2023-07-10 at 00:05:11 | INFO | Registering handlers
2023-07-10 at 00:05:11 | INFO | Registering commands
2023-07-10 at 00:05:11 | INFO | Bot started
2023-07-10 at 00:07:13 | INFO | Bot shutdown
2023-07-11 at 22:46:16 | INFO | Initializing bot
2023-07-11 at 22:46:17 | INFO | Registering handlers
2023-07-11 at 22:46:17 | INFO | Registering commands
2023-07-11 at 22:46:17 | INFO | Bot started
2023-07-11 at 22:47:09 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-11 at 23:12:11 | INFO | Bot shutdown
2023-07-11 at 23:12:16 | INFO | Initializing bot
2023-07-11 at 23:12:16 | INFO | Registering handlers
2023-07-11 at 23:12:16 | INFO | Registering commands
2023-07-11 at 23:12:17 | INFO | Bot started
2023-07-11 at 23:12:48 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-11 at 23:16:56 | INFO | Bot shutdown
2023-07-11 at 23:19:09 | INFO | Initializing bot
2023-07-11 at 23:19:09 | INFO | Registering handlers
2023-07-11 at 23:19:09 | INFO | Registering commands
2023-07-11 at 23:19:09 | INFO | Bot started
2023-07-11 at 23:19:38 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-11 at 23:22:18 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-11 at 23:22:32 | INFO | Бот приступает к выполнению команды /lowprice
2023-07-11 at 23:25:03 | INFO | Bot shutdown
2023-07-11 at 23:34:28 | INFO | Initializing bot
2023-07-11 at 23:34:28 | INFO | Registering handlers
2023-07-11 at 23:34:28 | INFO | Registering commands
2023-07-11 at 23:34:28 | INFO | Bot started
2023-07-11 at 23:34:38 | INFO | Клиент с id: 185652161 запустил команду /lowprice
2023-07-11 at 23:35:05 | INFO | Бот приступает к выполнению команды /lowprice
